Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2003 Apr,Total All Markets,Africa,Algeria,0,0
2003 Apr,Total All Markets,Africa,Angola,0,1.4
2003 Apr,Total All Markets,Africa,Benin,0,0.5
2003 Apr,Total All Markets,Africa,Cameroon,0,1
2003 Apr,Total All Markets,Africa,Cape Verde,0,0
2003 Apr,Total All Markets,Africa,Comoros,0.3,0.2
2003 Apr,Total All Markets,Africa,"Congo, Dem Rep Of",0,0
2003 Apr,Total All Markets,Africa,Cote D'ivoire,0.4,0.5
2003 Apr,Total All Markets,Africa,Djibouti,0,2.7
2003 Apr,Total All Markets,Africa,Egypt,2.6,6.6
2003 Apr,Total All Markets,Africa,Ethiopia,0,2.1
2003 Apr,Total All Markets,Africa,Gabon,0,0
2003 Apr,Total All Markets,Africa,Ghana,1,2.1
2003 Apr,Total All Markets,Africa,Guinea,0,0.3
2003 Apr,Total All Markets,Africa,Kenya,0.5,1.2
2003 Apr,Total All Markets,Africa,Liberia,0,62.5
2003 Apr,Total All Markets,Africa,Libya,0,2.8
2003 Apr,Total All Markets,Africa,Madagascar,6.6,1.2
2003 Apr,Total All Markets,Africa,Mauritius,0.9,5.1
2003 Apr,Total All Markets,Africa,Morocco,30.1,3.7
2003 Apr,Total All Markets,Africa,Mozambique,0,0.8
2003 Apr,Total All Markets,Africa,NA,88.1,138.1
2003 Apr,Total All Markets,Africa,Nigeria,0.1,4.6
2003 Apr,Total All Markets,Africa,Other Markets Africa,5.1,13.4
2003 Apr,Total All Markets,Africa,Reunion,0.3,0.4
2003 Apr,Total All Markets,Africa,Seychelles,0.4,2.3
2003 Apr,Total All Markets,Africa,Sierra Leone,0,0.5
2003 Apr,Total All Markets,Africa,Somalia,0,1.7
2003 Apr,Total All Markets,Africa,South Africa,36.9,17.5
2003 Apr,Total All Markets,Africa,Sudan,0.1,1.1
2003 Apr,Total All Markets,Africa,Swaziland,0.2,0.1
2003 Apr,Total All Markets,Africa,Tanzania,0.7,1
2003 Apr,Total All Markets,Africa,Tunisia,0.3,0.6
2003 Apr,Total All Markets,Africa,Zambia,0.2,0
2003 Apr,Total All Markets,Africa,Zimbabwe,1.3,0
2003 Apr,Total All Markets,America,Antigua And Barbuda,0,7.1
2003 Apr,Total All Markets,America,Argentina,1.1,3.1
2003 Apr,Total All Markets,America,Bahamas,0.1,22.2
2003 Apr,Total All Markets,America,Bermuda,0,3.3
2003 Apr,Total All Markets,America,Brazil,38.8,12.9
2003 Apr,Total All Markets,America,Canada,68.2,33.7
2003 Apr,Total All Markets,America,Chile,38.9,1.7
2003 Apr,Total All Markets,America,Colombia,2,4.6
2003 Apr,Total All Markets,America,Costa Rica,11.2,0.8
2003 Apr,Total All Markets,America,Cuba,0.2,0.2
2003 Apr,Total All Markets,America,Dominican Rep,0,0.5
2003 Apr,Total All Markets,America,Ecuador,0.8,0.5
2003 Apr,Total All Markets,America,El Salvador,1.6,0.4
2003 Apr,Total All Markets,America,Guatemala,3.6,0.6
2003 Apr,Total All Markets,America,Guyana,0,0
2003 Apr,Total All Markets,America,Honduras,0,2.5
2003 Apr,Total All Markets,America,Jamaica,0,0.3
2003 Apr,Total All Markets,America,Mexico,35.4,103.3
2003 Apr,Total All Markets,America,NA,2825.5,2349.3
2003 Apr,Total All Markets,America,Netherlands Antilles,70.7,0.4
2003 Apr,Total All Markets,America,Other Markets America,0.1,1.8
2003 Apr,Total All Markets,America,Panama,0.4,169.8
2003 Apr,Total All Markets,America,Paraguay,0,0.2
2003 Apr,Total All Markets,America,Peru,0.3,1
2003 Apr,Total All Markets,America,Puerto Rico,7.7,119.5
2003 Apr,Total All Markets,America,St. Vincent And The Grenadines,0,8.5
2003 Apr,Total All Markets,America,Trinidad And Tobago,0,0
2003 Apr,Total All Markets,America,United States,2544.3,1849.4
2003 Apr,Total All Markets,America,United States Virgin Islands,0,0
2003 Apr,Total All Markets,America,Uruguay,0,0.6
2003 Apr,Total All Markets,America,Venezuela,0,0.1
2003 Apr,Total All Markets,Asia,Afghanistan,0,0
2003 Apr,Total All Markets,Asia,Bahrain,3.6,3
2003 Apr,Total All Markets,Asia,Bangladesh,7.4,63.9
2003 Apr,Total All Markets,Asia,Brunei,15.3,21.6
2003 Apr,Total All Markets,Asia,Cambodia,4.6,23.6
2003 Apr,Total All Markets,Asia,China,1493.2,791.2
2003 Apr,Total All Markets,Asia,Christmas Island,0,0
2003 Apr,Total All Markets,Asia,Hong Kong,430.1,1126.6
2003 Apr,Total All Markets,Asia,India,178.8,192.4
2003 Apr,Total All Markets,Asia,Indonesia,980.9,937.9
2003 Apr,Total All Markets,Asia,Iran,95.5,10.9
2003 Apr,Total All Markets,Asia,Iraq,0,0
2003 Apr,Total All Markets,Asia,Israel,43.7,8.3
2003 Apr,Total All Markets,Asia,Japan,2232.2,806.2
2003 Apr,Total All Markets,Asia,Jordan,0.3,1.1
2003 Apr,Total All Markets,Asia,Kazakhstan,0,0.9
2003 Apr,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.1,3.1
2003 Apr,Total All Markets,Asia,"Korea, Rep Of",696.8,371.8
2003 Apr,Total All Markets,Asia,Kuwait,355.8,6.7
2003 Apr,Total All Markets,Asia,Lao,0,0
2003 Apr,Total All Markets,Asia,Lebanon,0,1.2
2003 Apr,Total All Markets,Asia,Macao,0.6,0.8
2003 Apr,Total All Markets,Asia,Malaysia,3150,1271.6
2003 Apr,Total All Markets,Asia,Maldives,1.2,5.8
2003 Apr,Total All Markets,Asia,Mongolia,0,1
2003 Apr,Total All Markets,Asia,Myanmar,8.2,48
2003 Apr,Total All Markets,Asia,NA,12841.7,7222.1
2003 Apr,Total All Markets,Asia,Nepal,0.9,2.8
2003 Apr,Total All Markets,Asia,Oman,21.4,7
2003 Apr,Total All Markets,Asia,Other Markets Asia,0.2,1.5
2003 Apr,Total All Markets,Asia,Pakistan,5.6,32.7
2003 Apr,Total All Markets,Asia,Philippines,347.4,299.4
2003 Apr,Total All Markets,Asia,Qatar,96.5,3.6
2003 Apr,Total All Markets,Asia,Saudi Arabia,439.8,26.3
2003 Apr,Total All Markets,Asia,Sri Lanka,6.6,24.5
2003 Apr,Total All Markets,Asia,Syria,44.2,0.8
2003 Apr,Total All Markets,Asia,Taiwan,829.6,516
2003 Apr,Total All Markets,Asia,Thailand,790,362
2003 Apr,Total All Markets,Asia,Turkiye,11.2,8
2003 Apr,Total All Markets,Asia,United Arab Emirates,346.7,67.4
2003 Apr,Total All Markets,Asia,Viet Nam,201.2,170.3
2003 Apr,Total All Markets,Asia,Yemen,2.1,2.1
2003 Apr,Total All Markets,Europe,Austria,40.9,8.1
2003 Apr,Total All Markets,Europe,Belarus,0.4,0
2003 Apr,Total All Markets,Europe,Belgium,86.7,50.7
2003 Apr,Total All Markets,Europe,Bulgaria,0.4,0.2
2003 Apr,Total All Markets,Europe,Croatia,0,0.9
2003 Apr,Total All Markets,Europe,Cyprus,2.2,25.7
2003 Apr,Total All Markets,Europe,Czech Rep,10.8,12.4
2003 Apr,Total All Markets,Europe,Denmark,29.8,13.3
2003 Apr,Total All Markets,Europe,Estonia,0.2,0.4
2003 Apr,Total All Markets,Europe,Finland,36.9,19.8
2003 Apr,Total All Markets,Europe,France,640.2,166.2
2003 Apr,Total All Markets,Europe,Germany,701.1,266.8
2003 Apr,Total All Markets,Europe,Greece,8.8,31.4
2003 Apr,Total All Markets,Europe,Hungary,8.3,20.5
2003 Apr,Total All Markets,Europe,Ireland,88.2,149.9
2003 Apr,Total All Markets,Europe,Italy,244.7,52.7
2003 Apr,Total All Markets,Europe,Latvia,0,0
2003 Apr,Total All Markets,Europe,Lithuania,0,0.3
2003 Apr,Total All Markets,Europe,Luxembourg,1.4,2.7
2003 Apr,Total All Markets,Europe,Malta,85.5,22.1
2003 Apr,Total All Markets,Europe,NA,3112.4,1919.5
2003 Apr,Total All Markets,Europe,Netherlands,139.8,432
2003 Apr,Total All Markets,Europe,Norway,87,21.1
2003 Apr,Total All Markets,Europe,Other Markets Europe,0.3,1.2
2003 Apr,Total All Markets,Europe,Poland,9.5,14.4
2003 Apr,Total All Markets,Europe,Portugal,19,6.3
2003 Apr,Total All Markets,Europe,Romania,3,0.3
2003 Apr,Total All Markets,Europe,Russia,52.2,18
2003 Apr,Total All Markets,Europe,Slovakia,1.4,0.1
2003 Apr,Total All Markets,Europe,Slovenia,1.1,0.8
2003 Apr,Total All Markets,Europe,Spain,55.9,44.1
2003 Apr,Total All Markets,Europe,Svalbard And Jan Mayen Islands,0,0
2003 Apr,Total All Markets,Europe,Sweden,94.2,6.1
